league,season,team
Ligue 1,2026-2027,Paris SG
Ligue 1,2026-2027,Lyon
Ligue 1,2026-2027,Lens
Ligue 1,2026-2027,Lille
Ligue 1,2026-2027,Marseille
Ligue 1,2026-2027,Rennes
Ligue 1,2026-2027,Monaco
Ligue 1,2026-2027,Strasbourg
Ligue 1,2026-2027,Toulouse
Ligue 1,2026-2027,Lorient
Ligue 1,2026-2027,Paris FC
Ligue 1,2026-2027,Brest
Ligue 1,2026-2027,Angers
Ligue 1,2026-2027,Le Havre
Ligue 1,2026-2027,Auxerre
Ligue 1,2026-2027,Nice
Ligue 1,2026-2027,Troyes
Ligue 1,2026-2027,Le Mans
Premier League,2026-2027,Arsenal
Premier League,2026-2027,Aston Villa
Premier League,2026-2027,Bournemouth
Premier League,2026-2027,Brentford
Premier League,2026-2027,Brighton
Premier League,2026-2027,Burnley
Premier League,2026-2027,Chelsea
Premier League,2026-2027,Coventry
Premier League,2026-2027,Crystal Palace
Premier League,2026-2027,Everton
Premier League,2026-2027,Fulham
Premier League,2026-2027,Hull
Premier League,2026-2027,Ipswich
Premier League,2026-2027,Leeds
Premier League,2026-2027,Liverpool
Premier League,2026-2027,Man City
Premier League,2026-2027,Man United
Premier League,2026-2027,Newcastle
Premier League,2026-2027,Nott'm Forest
Premier League,2026-2027,Sunderland
Bundesliga,2026-2027,Bayern Munich
Bundesliga,2026-2027,Stuttgart
Bundesliga,2026-2027,FC Koln
Bundesliga,2026-2027,Hoffenheim
Bundesliga,2026-2027,Elversberg
Bundesliga,2026-2027,Leverkusen
Bundesliga,2026-2027,Mainz
Bundesliga,2026-2027,Paderborn
Bundesliga,2026-2027,RB Leipzig
Bundesliga,2026-2027,M'gladbach
Bundesliga,2026-2027,Union Berlin
Bundesliga,2026-2027,Ein Frankfurt
Bundesliga,2026-2027,Dortmund
Bundesliga,2026-2027,Hamburg
Bundesliga,2026-2027,Freiburg
Bundesliga,2026-2027,Werder Bremen
Bundesliga,2026-2027,Augsburg
Bundesliga,2026-2027,Schalke 04
La Liga,2026-2027,Vallecano
La Liga,2026-2027,Alaves
La Liga,2026-2027,Betis
La Liga,2026-2027,Sociedad
La Liga,2026-2027,Ath Bilbao
La Liga,2026-2027,Sevilla
La Liga,2026-2027,Celta
La Liga,2026-2027,Valencia
La Liga,2026-2027,Real Madrid
La Liga,2026-2027,Espanol
La Liga,2026-2027,Ath Madrid
La Liga,2026-2027,Villarreal
La Liga,2026-2027,Getafe
La Liga,2026-2027,Santander
La Liga,2026-2027,Elche
La Liga,2026-2027,Barcelona
La Liga,2026-2027,Osasuna
La Liga,2026-2027,Levante
La Liga,2026-2027,Malaga
La Liga,2026-2027,Dep. A Coruna
Serie A,2026-2027,Inter
Serie A,2026-2027,Monza
Serie A,2026-2027,Udinese
Serie A,2026-2027,Como
Serie A,2026-2027,Parma
Serie A,2026-2027,Cagliari
Serie A,2026-2027,Genoa
Serie A,2026-2027,Napoli
Serie A,2026-2027,Venezia
Serie A,2026-2027,Lecce
Serie A,2026-2027,Frosinone
Serie A,2026-2027,Juventus
Serie A,2026-2027,Atalanta
Serie A,2026-2027,Sassuolo
Serie A,2026-2027,Torino
Serie A,2026-2027,Milan
Serie A,2026-2027,Lazio
Serie A,2026-2027,Bologna
Serie A,2026-2027,Fiorentina
Serie A,2026-2027,Roma
